confA,confB,infAB,infBA
iconip,ictai,0.000765320241626922,0.0911442318481503
iconip,ijcai,0.00592761235908838,0.366083166496184
iconip,ijcnn,0.252625764724444,0.439746528844449
iconip,ilp,0.836836496093119,0.836836496093119
iconip,ml,0.282660912532726,0.286925028716576
iconip,naacl,4.12276885074805e-08,2.49627529714456e-229
iconip,nips,0.0235734932779176,0.00124712219604987
iconip,pricai,0.753809284944294,0.00168591856042191
icpr,icra,0.00855485467677305,0.218964735558423
icpr,ictai,0.0297758627483244,0.411708968184146
icpr,ijcai,2.49227120438993e-05,0.115873108000046
icpr,ijcnn,9.14420085031033e-06,0.489702720303381
icpr,ml,0.00342123253899761,0.00478865661463946
icpr,naacl,0.502712887258129,1.72577356184268e-92
icpr,nips,0.554719503430785,0.152737465828268
icpr,pricai,0.179768092301669,0.0302100331169007
icpr,pris,0.281712443695436,0.0727591323676883
icpr,uai,0.000158556783836187,0.132504035280429
icra,ictai,0.00988114898749039,0.512822227429368
icra,ijcai,0.404951100376832,0.0609205427841069
icra,ijcnn,1.32206756605878e-19,1.8711098765587e-15
icra,ilp,0.926388490996544,2.95899727818303e-09
icra,ml,0.0390067358091413,0.312655387247311
icra,naacl,1.82933695957765e-97,6.70684247724119e-32
icra,nips,0.0107815715586386,0.238130541448351
icra,pricai,0.00515923698071009,4.57937590106537e-06
icra,uai,0.166230503167767,0.618774922134965
ictai,ijcai,0.0620407318235824,0.268170288774523
ictai,ilp,0.0691175807515248,0.00271732498498411
ictai,kr,0.00315068193640704,0.000417542095685481
ictai,ksem,1,1
ictai,ml,0.0703212526601363,0.134434973937305
ictai,naacl,0.628293813501872,9.25865047050697e-05
ictai,nips,0.173405327394568,0.0221534496666435
ictai,pricai,2.31661882605581e-07,0.111518736280059
ictai,uai,0.302702815056774,0.0541345658527567
ijcai,ijcnn,0,0.848944442852982
ijcai,ilp,0.00530351821356214,0.117230985368236
ijcai,kr,0.00218825771073538,0.0178210893705348
ijcai,ksem,0.127104920524202,0.543142268682905
ijcai,ml,0.286023625398704,0.111124858481152
ijcai,naacl,0.0281244694978545,0.125895838745895
ijcai,nips,0.0317600387261539,0.174104757932852
ijcai,pricai,0.0380441806945729,0.0336631858184647
ijcai,uai,0.0493325083940386,0.00578463583126877
ijcnn,ml,8.07806644015414e-07,0.193085061107008
ijcnn,naacl,0.836836496093119,1.23072851366313e-185
ijcnn,nips,0.690053115827053,0.118719328322334
ilp,kr,0.134033044311075,0.149319110291403
ilp,ml,0.0567852978547403,0.0472930080478233
ilp,naacl,1.28432705666902e-24,0.870772913878877
ilp,nips,0.443166063150608,0.550050403009929
ilp,pricai,0.626664551768546,3.00453397153675e-05
ilp,uai,2.92514955260887e-05,0.127384977417834
kr,ksem,0.742541075388566,0.927591651916448
kr,ml,0.137152336488576,0.78111054465191
kr,nips,5.69519041705293e-157,0.198020682249808
kr,pricai,0.305028721300587,0.269711697667125
kr,uai,0.273669113177568,0.15250890723057
ksem,pricai,0.633497305437198,0.721317557404589
ml,naacl,0.00132012049936244,0.0609503698276869
ml,nips,0.0669659294493953,0.101674195028448
ml,pricai,0.113870311111608,0.0725603378384894
ml,pris,0.725675354773729,0.776663807827342
ml,uai,0.0116639461456393,0.0106734732506835
naacl,nips,0.00238747744626368,2.65693718965107e-41
naacl,pricai,0.8574040133726,0.0199810262610913
naacl,uai,0.0350197646268775,0.0170641072408117
nips,pricai,0.116125803220723,0.0115749860559084
nips,pris,0.046563829651255,1.27075241947875e-78
nips,uai,0.00951748062619312,8.29485355397973e-05
pricai,uai,0.182838659267437,0.0464015335865873
